,Country,time zone,Time_out,Time_in,City,web_browser,operating_sys,from_url,to_url,Longtuide,Latituide
0,US,America/New_York,1331923247.0,1331822918.0,Danvers,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.ncbi.nlm.nih.gov,42.576698, -70.954903
1,US,America/New_York,1331923250.0,1331919941.0,Washington,Mozilla/4.0,Windows NT 6.1,t.co,boxer.senate.gov,38.9007, -77.043098
2,BR,America/Sao_Paulo,1331923249.0,1331923068.0,Braz,Mozilla/5.0,Macintosh,direct,apod.nasa.gov,-23.549999, -46.616699
3,US,America/New_York,1331923251.0,1273672411.0,Shrewsbury,Mozilla/5.0,Windows NT 6.1,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,42.286499, -71.714699
4,US,America/New_York,1331923252.0,1273672506.0,Shrewsbury,Mozilla/5.0,Windows NT 6.1,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,42.286499, -71.714699
5,PL,Europe/Warsaw,1331923255.0,1331922854.0,Luban,Mozilla/5.0,Windows NT 5.1,plus.url.google.com,www.nasa.gov,51.116699, 15.2833
6,US,America/Los_Angeles,1331923258.0,1319563556.0,Seattle,Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,47.5951, -122.332603
7,US,America/New_York,1331923259.0,1331815838.0,Washington,Mozilla/5.0,Macintosh,t.co,oversight.house.gov,38.937599, -77.092796
8,US,America/New_York,1331923259.0,1319563556.0,Alexandria,Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,38.790901, -77.094704
9,US,America/New_York,1331923262.0,1255769846.0,Marietta,Mozilla/5.0,Windows,direct,toxtown.nlm.nih.gov,33.953201, -84.5177
10,HK,Asia/Hong_Kong,1331923263.0,1317318030.0,Central District,Mozilla/5.0,Windows NT 6.1,forum2.hkgolden.com,www.ssd.noaa.gov,22.2833, 114.150002
11,HK,Asia/Hong_Kong,1331923263.0,1317318039.0,Central District,Mozilla/5.0,Windows NT 6.1,forum2.hkgolden.com,www.usno.navy.mil,22.2833, 114.150002
12,US,America/New_York,1331923264.0,1331839576.0,Buckfield,Mozilla/5.0,Macintosh,t.co,www.usda.gov,44.299702, -70.369797
13,IT,Europe/Rome,1331923264.0,1331922854.0,Venice,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,45.438599, 12.3267
14,ES,Africa/Ceuta,1331923265.0,1331670549.0,Alcal,Mozilla/5.0,Windows NT 6.1,www.facebook.com,voyager.jpl.nasa.gov,37.516701, -5.9833
15,US,America/New_York,1331923267.0,1331922854.0,Davidsonville,Mozilla/5.0,Macintosh,www.facebook.com,www.nasa.gov,38.939201, -76.635002
16,US,America/New_York,1331923267.0,1331064158.0,Hockessin,Mozilla/4.0,Windows NT 6.1,direct,portal.hud.gov,39.785, -75.682297
17,US,America/New_York,1331923267.0,1330217829.0,Lititz,Mozilla/5.0,Macintosh,www.facebook.com,www.tricare.mil,40.174999, -76.3078
18,ES,Europe/Madrid,1331923268.0,1331922854.0,Bilbao,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,43.25, -2.9667
19,MY,Asia/Kuala_Lumpur,1331923269.0,1331922854.0,Kuala Lumpur,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,3.1667, 101.699997
20,CY,Asia/Nicosia,1331923268.0,1331922854.0,Nicosia,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,35.166698, 33.366699
21,BR,America/Sao_Paulo,1331923269.0,1331923068.0,SPaulo,Mozilla/5.0,Macintosh,direct,apod.nasa.gov,-23.5333, -46.616699
22,GB,Europe/London,1331923271.0,1331922854.0,Huddersfield,Mozilla/5.0,Windows NT 5.1,plus.url.google.com,www.nasa.gov,53.650002, -1.7833
23,US,America/New_York,1331923271.0,1331922854.0,Fairport,Mozilla/5.0,Windows NT 5.1,www.facebook.com,www.nasa.gov,43.100498, -77.426003
24,US,Pacific/Honolulu,1331923276.0,1331922709.0,Honolulu,Mozilla/4.0,Windows NT 6.1,direct,www.cnic.navy.mil,21.3139, -157.824493
25,US,America/Chicago,1331923275.0,1331825200.0,Knoxville,Mozilla/5.0,Macintosh,t.co,www.nasa.gov,35.972401, -83.959503
26,US,Pacific/Honolulu,1331923278.0,1331922709.0,Honolulu,Mozilla/4.0,Windows NT 6.1,direct,www.cnic.navy.mil,21.3139, -157.824493
27,US,America/New_York,1331923279.0,1331665443.0,Washington,Mozilla/4.0,Windows NT 6.1,direct,citizencorps.gov,38.897099, -77.040901
28,US,America/New_York,1331923279.0,1319563556.0,Stamford,Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,41.097801, -73.518799
29,US,America/New_York,1331923279.0,1246975140.0,Bronx,Mozilla/5.0,iPhone,direct,radar.weather.gov,40.849899, -73.8769
30,US,America/Chicago,1331923281.0,1330217829.0,Saint Louis,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.tricare.mil,38.6143, -90.444397
31,IT,Europe/Rome,1331923280.0,1331922854.0,Rome,Mozilla/5.0,Windows NT 6.1,www.facebook.com,www.nasa.gov,41.900002, 12.4833
32,US,America/New_York,1331923281.0,1319563556.0,Dudley,Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,42.059399, -71.9356
33,US,America/New_York,1331923281.0,1328745636.0,Bowie,Mozilla/5.0,iPhone,direct,www.irs.gov,38.9576, -76.756599
34,US,America/Los_Angeles,1331923284.0,1319563556.0,Los Angeles,Mozilla/5.0,Macintosh,direct,www.nysdot.gov,34.065701, -118.436203
35,US,America/New_York,1331923284.0,1319563556.0,Savannah,Mozilla/5.0,Windows NT 6.1,direct,www.nysdot.gov,31.997101, -80.9645
36,US,America/New_York,1331923285.0,1331853485.0,Washington,Mozilla/4.0,Windows NT 6.1,www.aashtojournal.org,www.senate.gov,38.909698, -77.023102
37,MT,Europe/Malta,1331923288.0,1331922854.0,Sliema,Mozilla/5.0,Windows NT 5.1,www.facebook.com,www.nasa.gov,35.912498, 14.5019
38,US,America/New_York,1331923288.0,1331922854.0,Woodbridge,Mozilla/5.0,Linux,m.facebook.com,www.nasa.gov,38.625702, -77.266502
39,US,America/New_York,1331923287.0,1331921833.0,Grand Rapids,Mozilla/5.0,Windows NT 6.1,t.co,www.nature.nps.gov,42.977699, -85.710999
40,US,America/Los_Angeles,1331923291.0,1331920879.0,Chula Vista,Mozilla/4.0,Windows NT 6.1,t.co,www.whitehouse.gov,32.636101, -117.0532
41,BR,America/Sao_Paulo,1331923292.0,1331923068.0,Curitiba,Mozilla/5.0,Windows NT 5.1,t.co,apod.nasa.gov,-25.4167, -49.25
42,HK,Asia/Hong_Kong,1331923292.0,1317318039.0,Central District,Mozilla/5.0,iPhone,lalaf.com,www.usno.navy.mil,22.2833, 114.150002
43,HK,Asia/Hong_Kong,1331923292.0,1317318030.0,Central District,Mozilla/5.0,iPhone,lalaf.com,www.ssd.noaa.gov,22.2833, 114.150002
44,US,Pacific/Honolulu,1331923294.0,1331922709.0,Honolulu,Mozilla/4.0,Windows NT 6.1,direct,www.cnic.navy.mil,21.3139, -157.824493
45,US,Pacific/Honolulu,1331923295.0,1331922709.0,Honolulu,Mozilla/4.0,Windows NT 6.1,direct,www.cnic.navy.mil,21.3139, -157.824493
46,US,Pacific/Honolulu,1331923295.0,1331921801.0,Honolulu,Mozilla/4.0,Windows NT 6.1,direct,www.navy.mil,21.3139, -157.824493
47,US,America/New_York,1331923296.0,1331908890.0,Cambridge,Mozilla/5.0,Windows NT 6.1,t.co,www.cbo.gov,42.3741, -71.107201
